#Class	No_families	Coverage	Abundance	Description
J	245	0	0	Translation, ribosomal structure and biogenesis 
A	25	0	0	RNA processing and modification 
K	231	0	0	Transcription 
L	238	0	0	Replication, recombination and repair 
B	19	0	0	Chromatin structure and dynamics 
D	72	0	0	Cell cycle control, cell division, chromosome partitioning 
Y	2	0	0	Nuclear structure 
V	46	0	0	Defense mechanisms 
T	152	0	0	Signal transduction mechanisms 
M	188	0	0	Cell wall/membrane/envelope biogenesis 
N	96	0	0	Cell motility 
Z	12	0	0	Cytoskeleton 
W	1	0	0	Extracellular structures 
U	158	0	0	Intracellular trafficking, secretion, and vesicular transport 
O	203	0	0	Posttranslational modification, protein turnover, chaperones 
C	258	0	0	Energy production and conversion 
G	230	0	0	Carbohydrate transport and metabolism 
E	270	0	0	Amino acid transport and metabolism 
F	95	0	0	Nucleotide transport and metabolism 
H	179	0	0	Coenzyme transport and metabolism 
I	94	0	0	Lipid transport and metabolism 
P	212	0	0	Inorganic ion transport and metabolism 
Q	88	0	0	Secondary metabolites biosynthesis, transport and catabolism 
R	702	0	0	General function prediction only 
S	1347	0	0	Function unknown 
