#Accession	Name	No_orfs	Coverage	Abundance	Description
COG0001	HemL	1	0.965277	0.000784	Glutamate-1-semialdehyde aminotransferase
COG0002	ArgC	1	0.988538	0.000803	Acetylglutamate semialdehyde dehydrogenase
COG0004	AmtB	2	1.948655	0.001583	Ammonia permease
COG0005	Pnp	1	0.992366	0.000806	Purine nucleoside phosphorylase
COG0006	PepP	1	0.973958	0.000791	Xaa-Pro aminopeptidase
COG0007	CysG	1	0.967213	0.000785	Uroporphyrinogen-III methylase
COG0008	GlnS	2	1.959745	0.001592	Glutamyl- and glutaminyl-tRNA synthetases
COG0009	SUA5	1	0.976303	0.000793	Putative translation factor (SUA5)
COG0012	COG0012	1	0.994623	0.000808	Predicted GTPase, probable translation factor
COG0013	AlaS	1	0.995449	0.000808	Alanyl-tRNA synthetase
COG0014	ProA	1	0.995203	0.000808	Gamma-glutamyl phosphate reductase
COG0015	PurB	1	1	0.000812	Adenylosuccinate lyase
COG0016	PheS	1	0.985074	0.0008	Phenylalanyl-tRNA synthetase alpha subunit
COG0018	ArgS	1	0.993067	0.000806	Arginyl-tRNA synthetase
COG0019	LysA	1	0.989847	0.000804	Diaminopimelate decarboxylase
COG0020	UppS	1	0.938775	0.000762	Undecaprenyl pyrophosphate synthase
COG0024	Map	1	0.988235	0.000802	Methionine aminopeptidase
COG0028	IlvB	3	2.932727	0.002382	Thiamine pyrophosphate-requiring enzymes
COG0029	NadB	1	0.915057	0.000743	Aspartate oxidase
COG0030	KsgA	1	0.984555	0.0008	Dimethyladenosine transferase (rRNA methylation)
COG0031	CysK	1	1	0.000812	Cysteine synthase
COG0034	PurF	2	1.951063	0.001585	Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	Upp	1	0.985714	0.0008	Uracil phosphoribosyltransferase
COG0036	Rpe	1	0.986363	0.000801	Pentose-5-phosphate-3-epimerase
COG0037	MesJ	2	1.580536	0.001284	tRNA(Ile)-lysidine synthase MesJ
COG0038	EriC	2	1.857787	0.001509	Chloride channel protein EriC
COG0040	HisG	1	0.737931	0.000599	ATP phosphoribosyltransferase
COG0041	PurE	1	0.987654	0.000802	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042	COG0042	1	0.978328	0.000794	tRNA-dihydrouridine synthase
COG0044	PyrC	1	0.979069	0.000795	Dihydroorotase and related cyclic amidohydrolases
COG0046	PurL	1	0.994616	0.000808	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
COG0047	PurL	1	1	0.000812	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
COG0048	RpsL	1	0.953488	0.000774	Ribosomal protein S12
COG0049	RpsG	1	1	0.000812	Ribosomal protein S7
COG0050	TufB	1	1	0.000812	GTPases - translation elongation factors
COG0051	RpsJ	1	0.961538	0.000781	Ribosomal protein S10
COG0052	RpsB	1	0.90873	0.000738	Ribosomal protein S2
COG0053	MMT1	1	0.957236	0.000777	Predicted Co/Zn/Cd cation transporters
COG0054	RibH	3	1.644736	0.001336	Riboflavin synthase beta-chain
COG0057	GapA	1	0.985074	0.0008	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0058	GlgP	1	0.94	0.000763	Glucan phosphorylase
COG0059	IlvC	1	0.991124	0.000805	Ketol-acid reductoisomerase
COG0060	IleS	1	0.980707	0.000796	Isoleucyl-tRNA synthetase
COG0061	nadF	1	0.989323	0.000803	NAD kinase
COG0062	COG0062	1	0.945812	0.000768	Uncharacterized conserved protein
COG0063	COG0063	1	0.933098	0.000758	Predicted sugar kinase
COG0064	GatB	1	0.989648	0.000804	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)
COG0065	LeuC	1	0.997635	0.00081	3-isopropylmalate dehydratase large subunit
COG0066	LeuD	1	0.869109	0.000706	3-isopropylmalate dehydratase small subunit
COG0067	GltB	1	0.997304	0.00081	Glutamate synthase domain 1
COG0069	GltB	1	0.98969	0.000804	Glutamate synthase domain 2
COG0070	GltB	1	1	0.000812	Glutamate synthase domain 3
COG0072	PheT	1	0.998461	0.000811	Phenylalanyl-tRNA synthetase beta subunit
COG0073	ARC1	2	1.894308	0.001539	EMAP domain
COG0077	PheA	1	0.964157	0.000783	Prephenate dehydratase
COG0078	ArgF	1	0.980645	0.000796	Ornithine carbamoyltransferase
COG0079	HisC	1	0.994382	0.000807	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase
COG0080	RplK	1	0.992907	0.000806	Ribosomal protein L11
COG0081	RplA	1	0.995614	0.000808	Ribosomal protein L1
COG0082	AroC	1	0.945799	0.000768	Chorismate synthase
COG0083	ThrB	1	0.986622	0.000801	Homoserine kinase
COG0084	TatD	1	0.996093	0.000809	Mg-dependent DNase
COG0085	RpoB	1	0.992452	0.000806	DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0086	RpoC	2	1.397277	0.001135	DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0087	RplC	1	0.967889	0.000786	Ribosomal protein L3
COG0088	RplD	1	0.985981	0.000801	Ribosomal protein L4
COG0089	RplW	1	0.978723	0.000795	Ribosomal protein L23
COG0090	RplB	1	1	0.000812	Ribosomal protein L2
COG0091	RplV	1	0.916666	0.000744	Ribosomal protein L22
COG0092	RpsC	1	0.849785	0.00069	Ribosomal protein S3
COG0093	RplN	1	1	0.000812	Ribosomal protein L14
COG0094	RplE	1	0.994444	0.000808	Ribosomal protein L5
COG0096	RpsH	1	1	0.000812	Ribosomal protein S8
COG0097	RplF	1	0.955056	0.000776	Ribosomal protein L6P/L9E
COG0098	RpsE	1	0.917127	0.000745	Ribosomal protein S5
COG0099	RpsM	1	1	0.000812	Ribosomal protein S13
