"Accession","Name","Description","cog_SampleX_bin.001","cog_SampleX_bin.002","cog_SampleX_bin.003"
"COG0002","ArgC","Acetylglutamate semialdehyde dehydrogenase",1,1,1
"COG0004","AmtB","Ammonia permease",1,2,0
"COG0005","Pnp","Purine nucleoside phosphorylase",2,1,0
"COG0006","PepP","Xaa-Pro aminopeptidase",8,1,4
"COG0007","CysG","Uroporphyrinogen-III methylase",2,1,0
"COG0008","GlnS","Glutamyl- and glutaminyl-tRNA synthetases",2,2,2
"COG0009","SUA5","Putative translation factor (SUA5)",1,1,1
"COG0010","SpeB","Arginase/agmatinase/formimionoglutamate hydrolase, arginase family",1,0,1
"COG0011","COG0011","Uncharacterized conserved protein",1,0,0
"COG0012","COG0012","Predicted GTPase, probable translation factor",1,1,1
"COG0013","AlaS","Alanyl-tRNA synthetase",1,1,3
"COG0014","ProA","Gamma-glutamyl phosphate reductase",1,1,1
"COG0015","PurB","Adenylosuccinate lyase",2,1,1
"COG0016","PheS","Phenylalanyl-tRNA synthetase alpha subunit",1,1,1
"COG0017","AsnS","Aspartyl/asparaginyl-tRNA synthetases",2,0,1
"COG0018","ArgS","Arginyl-tRNA synthetase",1,1,1
"COG0019","LysA","Diaminopimelate decarboxylase",3,1,1
"COG0020","UppS","Undecaprenyl pyrophosphate synthase",2,1,1
"COG0021","TktA","Transketolase",1,0,1
"COG0022","AcoB","Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit",1,0,0
"COG0024","Map","Methionine aminopeptidase",1,1,2
"COG0025","NhaP","NhaP-type Na+/H+ and K+/H+ antiporters",1,0,0
"COG0028","IlvB","Thiamine pyrophosphate-requiring enzymes",4,3,1
"COG0029","NadB","Aspartate oxidase",2,1,1
"COG0030","KsgA","Dimethyladenosine transferase (rRNA methylation)",2,1,1
"COG0031","CysK","Cysteine synthase",1,1,0
"COG0034","PurF","Glutamine phosphoribosylpyrophosphate amidotransferase",2,2,2
"COG0035","Upp","Uracil phosphoribosyltransferase",1,1,1
"COG0036","Rpe","Pentose-5-phosphate-3-epimerase",2,1,1
"COG0037","MesJ","tRNA(Ile)-lysidine synthase MesJ",3,2,3
"COG0038","EriC","Chloride channel protein EriC",1,2,1
"COG0039","Mdh","Malate/lactate dehydrogenases",1,0,0
"COG0040","HisG","ATP phosphoribosyltransferase",1,1,1
"COG0041","PurE","Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase",1,1,1
"COG0042","COG0042","tRNA-dihydrouridine synthase",1,1,1
"COG0043","UbiD","3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases",2,0,0
"COG0044","PyrC","Dihydroorotase and related cyclic amidohydrolases",8,1,1
"COG0046","PurL","Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain",1,1,1
"COG0047","PurL","Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain",1,1,1
"COG0048","RpsL","Ribosomal protein S12",1,1,1
"COG0051","RpsJ","Ribosomal protein S10",1,1,2
"COG0052","RpsB","Ribosomal protein S2",1,1,1
"COG0053","MMT1","Predicted Co/Zn/Cd cation transporters",4,1,1
"COG0054","RibH","Riboflavin synthase beta-chain",1,3,0
"COG0055","AtpD","F0F1-type ATP synthase, beta subunit",1,0,1
"COG0056","AtpA","F0F1-type ATP synthase, alpha subunit",1,0,1
"COG0057","GapA","Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase",1,1,0
"COG0058","GlgP","Glucan phosphorylase",2,1,1
"COG0059","IlvC","Ketol-acid reductoisomerase",1,1,0
"COG0060","IleS","Isoleucyl-tRNA synthetase",1,1,1
"COG0061","nadF","NAD kinase",1,1,1
"COG0062","COG0062","Uncharacterized conserved protein",1,1,1
"COG0063","COG0063","Predicted sugar kinase",1,1,1
"COG0064","GatB","Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)",1,1,0
"COG0065","LeuC","3-isopropylmalate dehydratase large subunit",3,1,1
"COG0066","LeuD","3-isopropylmalate dehydratase small subunit",1,1,1
"COG0067","GltB","Glutamate synthase domain 1",1,1,1
"COG0069","GltB","Glutamate synthase domain 2",3,1,1
"COG0070","GltB","Glutamate synthase domain 3",1,1,1
"COG0071","IbpA","Molecular chaperone (small heat shock protein)",3,0,2
"COG0072","PheT","Phenylalanyl-tRNA synthetase beta subunit",1,1,1
"COG0073","ARC1","EMAP domain",3,2,2
"COG0074","SucD","Succinyl-CoA synthetase, alpha subunit",1,0,0
"COG0075","COG0075","Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase",1,0,0
"COG0077","PheA","Prephenate dehydratase",1,1,1
"COG0078","ArgF","Ornithine carbamoyltransferase",2,1,1
"COG0079","HisC","Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase",2,1,1
"COG0080","RplK","Ribosomal protein L11",1,1,2
"COG0081","RplA","Ribosomal protein L1",1,1,2
"COG0082","AroC","Chorismate synthase",1,1,1
"COG0084","TatD","Mg-dependent DNase",1,1,1
