"Accession","Name","Description","EG18NEC_Bin12","EG18NEC_Bin13","EG18NEC_Bin8"
"COG0001","HemL","Glutamate-1-semialdehyde aminotransferase",2,0,1
"COG0002","ArgC","Acetylglutamate semialdehyde dehydrogenase",1,1,1
"COG0004","AmtB","Ammonia permease",2,1,1
"COG0005","Pnp","Purine nucleoside phosphorylase",1,1,1
"COG0006","PepP","Xaa-Pro aminopeptidase",1,5,6
"COG0007","CysG","Uroporphyrinogen-III methylase",2,2,2
"COG0008","GlnS","Glutamyl- and glutaminyl-tRNA synthetases",2,3,4
"COG0009","SUA5","Putative translation factor (SUA5)",1,1,1
"COG0010","SpeB","Arginase/agmatinase/formimionoglutamate hydrolase, arginase family",2,2,1
"COG0012","COG0012","Predicted GTPase, probable translation factor",2,1,1
"COG0013","AlaS","Alanyl-tRNA synthetase",1,1,2
"COG0014","ProA","Gamma-glutamyl phosphate reductase",1,1,1
"COG0015","PurB","Adenylosuccinate lyase",1,1,1
"COG0016","PheS","Phenylalanyl-tRNA synthetase alpha subunit",2,1,1
"COG0018","ArgS","Arginyl-tRNA synthetase",1,1,1
"COG0019","LysA","Diaminopimelate decarboxylase",2,1,2
"COG0020","UppS","Undecaprenyl pyrophosphate synthase",1,1,1
"COG0021","TktA","Transketolase",1,1,1
"COG0022","AcoB","Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit",2,1,1
"COG0024","Map","Methionine aminopeptidase",2,1,1
"COG0026","PurK","Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)",1,1,1
"COG0028","IlvB","Thiamine pyrophosphate-requiring enzymes",4,5,4
"COG0029","NadB","Aspartate oxidase",1,1,0
"COG0030","KsgA","Dimethyladenosine transferase (rRNA methylation)",1,1,1
"COG0031","CysK","Cysteine synthase",1,2,1
"COG0033","Pgm","Phosphoglucomutase",1,1,0
"COG0034","PurF","Glutamine phosphoribosylpyrophosphate amidotransferase",1,1,1
"COG0035","Upp","Uracil phosphoribosyltransferase",1,1,1
"COG0036","Rpe","Pentose-5-phosphate-3-epimerase",1,1,2
"COG0037","MesJ","tRNA(Ile)-lysidine synthase MesJ",2,2,2
"COG0038","EriC","Chloride channel protein EriC",1,1,1
"COG0039","Mdh","Malate/lactate dehydrogenases",1,1,2
"COG0040","HisG","ATP phosphoribosyltransferase",1,1,1
"COG0041","PurE","Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase",1,1,1
"COG0042","COG0042","tRNA-dihydrouridine synthase",2,2,2
"COG0044","PyrC","Dihydroorotase and related cyclic amidohydrolases",2,2,2
"COG0045","SucC","Succinyl-CoA synthetase, beta subunit",1,1,1
"COG0046","PurL","Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain",1,1,1
"COG0047","PurL","Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain",1,1,1
"COG0048","RpsL","Ribosomal protein S12",1,1,1
"COG0049","RpsG","Ribosomal protein S7",1,1,1
"COG0050","TufB","GTPases - translation elongation factors",2,0,1
"COG0051","RpsJ","Ribosomal protein S10",1,1,1
"COG0052","RpsB","Ribosomal protein S2",1,1,1
"COG0054","RibH","Riboflavin synthase beta-chain",1,1,1
"COG0055","AtpD","F0F1-type ATP synthase, beta subunit",1,1,1
"COG0056","AtpA","F0F1-type ATP synthase, alpha subunit",1,1,1
"COG0057","GapA","Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase",1,1,1
"COG0059","IlvC","Ketol-acid reductoisomerase",1,1,1
"COG0060","IleS","Isoleucyl-tRNA synthetase",1,1,2
"COG0061","nadF","NAD kinase",1,1,1
"COG0062","COG0062","Uncharacterized conserved protein",1,0,0
"COG0063","COG0063","Predicted sugar kinase",1,0,0
"COG0064","GatB","Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)",1,1,1
"COG0065","LeuC","3-isopropylmalate dehydratase large subunit",1,2,1
"COG0067","GltB","Glutamate synthase domain 1",1,1,3
"COG0069","GltB","Glutamate synthase domain 2",3,1,4
"COG0070","GltB","Glutamate synthase domain 3",1,1,3
"COG0071","IbpA","Molecular chaperone (small heat shock protein)",3,1,1
"COG0072","PheT","Phenylalanyl-tRNA synthetase beta subunit",1,1,1
"COG0073","ARC1","EMAP domain",2,2,2
