Accession	Name	No_orfs	Coverage	Abundance	Description
COG0002	ArgC	1	0.988538	0.000602	Acetylglutamate semialdehyde dehydrogenase
COG0006	PepP	4	3.877604	0.002363	Xaa-Pro aminopeptidase
COG0008	GlnS	2	1.976694	0.001204	Glutamyl- and glutaminyl-tRNA synthetases
COG0009	SUA5	1	0.914691	0.000557	Putative translation factor (SUA5)
COG0010	SpeB	1	0.583606	0.000355	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family
COG0012	COG0012	1	1	0.000609	Predicted GTPase, probable translation factor
COG0013	AlaS	3	0.967007	0.000589	Alanyl-tRNA synthetase
COG0014	ProA	1	0.990407	0.000603	Gamma-glutamyl phosphate reductase
COG0015	PurB	1	0.988584	0.000602	Adenylosuccinate lyase
COG0016	PheS	1	0.997014	0.000607	Phenylalanyl-tRNA synthetase alpha subunit
COG0017	AsnS	1	0.990804	0.000603	Aspartyl/asparaginyl-tRNA synthetases
COG0018	ArgS	1	0.989601	0.000603	Arginyl-tRNA synthetase
COG0019	LysA	1	0.992385	0.000604	Diaminopimelate decarboxylase
COG0020	UppS	1	0.95102	0.000579	Undecaprenyl pyrophosphate synthase
COG0021	TktA	1	0.996983	0.000607	Transketolase
COG0024	Map	2	1.952941	0.00119	Methionine aminopeptidase
COG0026	PurK	1	0.312	0.00019	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
COG0028	IlvB	1	0.990909	0.000603	Thiamine pyrophosphate-requiring enzymes
COG0029	NadB	1	0.745173	0.000454	Aspartate oxidase
COG0030	KsgA	1	0.980694	0.000597	Dimethyladenosine transferase (rRNA methylation)
COG0034	PurF	2	1.785106	0.001088	Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	Upp	1	0.995238	0.000606	Uracil phosphoribosyltransferase
COG0036	Rpe	1	0.963636	0.000587	Pentose-5-phosphate-3-epimerase
COG0037	MesJ	3	2.268456	0.001382	tRNA(Ile)-lysidine synthase MesJ
COG0038	EriC	1	0.930022	0.000566	Chloride channel protein EriC
COG0040	HisG	1	0.655172	0.000399	ATP phosphoribosyltransferase
COG0041	PurE	1	0.981481	0.000598	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042	COG0042	1	0.98452	0.0006	tRNA-dihydrouridine synthase
COG0044	PyrC	1	0.972093	0.000592	Dihydroorotase and related cyclic amidohydrolases
COG0046	PurL	1	0.938088	0.000571	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
COG0047	PurL	1	1	0.000609	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
COG0048	RpsL	1	0.953488	0.000581	Ribosomal protein S12
COG0049	RpsG	1	1	0.000609	Ribosomal protein S7
COG0050	TufB	1	0.286802	0.000174	GTPases - translation elongation factors
COG0051	RpsJ	2	1.951923	0.001189	Ribosomal protein S10
COG0052	RpsB	1	0.960317	0.000585	Ribosomal protein S2
COG0053	MMT1	1	0.914473	0.000557	Predicted Co/Zn/Cd cation transporters
COG0055	AtpD	1	0.997863	0.000608	F0F1-type ATP synthase, beta subunit
COG0056	AtpA	1	0.998015	0.000608	F0F1-type ATP synthase, alpha subunit
COG0058	GlgP	1	0.996	0.000607	Glucan phosphorylase
COG0060	IleS	1	0.933547	0.000569	Isoleucyl-tRNA synthetase
COG0061	nadF	1	0.925266	0.000563	NAD kinase
COG0062	COG0062	1	0.75862	0.000462	Uncharacterized conserved protein
COG0063	COG0063	1	0.943661	0.000575	Predicted sugar kinase
COG0065	LeuC	1	0.997635	0.000608	3-isopropylmalate dehydratase large subunit
COG0066	LeuD	1	0.827225	0.000504	3-isopropylmalate dehydratase small subunit
COG0067	GltB	1	0.997304	0.000607	Glutamate synthase domain 1
COG0069	GltB	1	1	0.000609	Glutamate synthase domain 2
COG0070	GltB	1	0.996677	0.000607	Glutamate synthase domain 3
COG0071	IbpA	2	1.356164	0.000826	Molecular chaperone (small heat shock protein)
COG0072	PheT	1	1	0.000609	Phenylalanyl-tRNA synthetase beta subunit
COG0073	ARC1	2	1.902439	0.001159	EMAP domain
COG0077	PheA	1	0.97491	0.000594	Prephenate dehydratase
COG0078	ArgF	1	0.996774	0.000607	Ornithine carbamoyltransferase
COG0079	HisC	1	0.991573	0.000604	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase
COG0080	RplK	2	1.978723	0.001206	Ribosomal protein L11
COG0081	RplA	2	1.97807	0.001205	Ribosomal protein L1
COG0082	AroC	1	0.945799	0.000576	Chorismate synthase
COG0083	ThrB	1	0.976588	0.000595	Homoserine kinase
COG0084	TatD	1	0.996093	0.000607	Mg-dependent DNase
COG0085	RpoB	2	1.991509	0.001213	DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0086	RpoC	4	2.837871	0.001729	DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0087	RplC	2	1.967889	0.001199	Ribosomal protein L3
COG0088	RplD	2	1.971962	0.001201	Ribosomal protein L4
COG0089	RplW	2	1.80851	0.001102	Ribosomal protein L23
COG0090	RplB	2	1.996363	0.001216	Ribosomal protein L2
COG0091	RplV	2	1.891666	0.001153	Ribosomal protein L22
COG0092	RpsC	2	1.742489	0.001062	Ribosomal protein S3
COG0093	RplN	2	2	0.001219	Ribosomal protein L14
COG0094	RplE	2	1.983333	0.001208	Ribosomal protein L5
COG0096	RpsH	2	2	0.001219	Ribosomal protein S8
COG0097	RplF	2	1.994382	0.001215	Ribosomal protein L6P/L9E
COG0098	RpsE	2	1.712707	0.001043	Ribosomal protein S5
COG0099	RpsM	1	1	0.000609	Ribosomal protein S13
COG0100	RpsK	1	1	0.000609	Ribosomal protein S11
COG0101	TruA	1	0.921052	0.000561	Pseudouridylate synthase
COG0102	RplM	1	0.979729	0.000597	Ribosomal protein L13
COG0103	RpsI	1	1	0.000609	Ribosomal protein S9
COG0104	PurA	1	0.997674	0.000608	Adenylosuccinate synthase
COG0106	HisA	1	0.991701	0.000604	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107	HisF	1	0.992187	0.000604	Imidazoleglycerol-phosphate synthase
COG0110	WbbJ	1	0.936842	0.000571	Acetyltransferase (isoleucine patch superfamily)
COG0111	SerA	1	0.790123	0.000481	Phosphoglycerate dehydrogenase and related dehydrogenases
COG0112	GlyA	1	0.978208	0.000596	Glycine/serine hydroxymethyltransferase
COG0115	IlvE	1	0.989436	0.000603	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0118	HisH	1	0.990196	0.000603	Glutamine amidotransferase
COG0122	AlkA	2	0.670175	0.000408	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0124	HisS	1	0.990675	0.000603	Histidyl-tRNA synthetase
COG0125	Tmk	1	0.985576	0.0006	Thymidylate kinase
COG0126	Pgk	1	0.992405	0.000604	3-phosphoglycerate kinase
COG0127	COG0127	1	0.994845	0.000606	Xanthosine triphosphate pyrophosphatase
COG0128	AroA	1	0.995327	0.000606	5-enolpyruvylshikimate-3-phosphate synthase
COG0129	IlvD	1	0.980869	0.000597	Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0130	TruB	1	0.881918	0.000537	Pseudouridine synthase
COG0131	HisB	1	0.989743	0.000603	Imidazoleglycerol-phosphate dehydratase
COG0133	TrpB	1	0.987373	0.000601	Tryptophan synthase beta chain
COG0134	TrpC	1	1	0.000609	Indole-3-glycerol phosphate synthase
COG0135	TrpF	2	0.966346	0.000589	Phosphoribosylanthranilate isomerase
COG0136	Asd	1	1	0.000609	Aspartate-semialdehyde dehydrogenase
COG0137	ArgG	1	0.833746	0.000508	Argininosuccinate synthase
COG0138	PurH	3	1.165048	0.00071	AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)
COG0139	HisI	1	0.927927	0.000565	Phosphoribosyl-AMP cyclohydrolase
COG0140	HisI	1	0.967391	0.000589	Phosphoribosyl-ATP pyrophosphohydrolase
COG0141	HisD	1	0.905882	0.000552	Histidinol dehydrogenase
COG0142	IspA	1	0.832298	0.000507	Geranylgeranyl pyrophosphate synthase
COG0143	MetG	1	0.992831	0.000605	Methionyl-tRNA synthetase
COG0144	Sun	2	1.8	0.001097	tRNA and rRNA cytosine-C5-methylases
COG0147	TrpE	1	0.99567	0.000606	Anthranilate/para-aminobenzoate synthases component I
COG0148	Eno	2	1.988179	0.001211	Enolase
COG0149	TpiA	1	0.988047	0.000602	Triosephosphate isomerase
COG0150	PurM	1	0.976811	0.000595	Phosphoribosylaminoimidazole (AIR) synthetase
COG0151	PurD	2	1.084112	0.00066	Phosphoribosylamine-glycine ligase
COG0152	PurC	1	0.943319	0.000574	Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase
COG0153	GalK	1	0.917948	0.000559	Galactokinase
COG0157	NadC	1	0.978571	0.000596	Nicotinate-nucleotide pyrophosphorylase
COG0159	TrpA	1	0.966037	0.000588	Tryptophan synthase alpha chain
COG0162	TyrS	2	1.980049	0.001206	Tyrosyl-tRNA synthetase
COG0163	UbiX	1	0.623036	0.000379	3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0164	RnhB	1	0.929648	0.000566	Ribonuclease HII
COG0165	ArgH	2	0.858387	0.000523	Argininosuccinate lyase
COG0166	Pgi	1	0.968609	0.00059	Glucose-6-phosphate isomerase
COG0167	PyrD	2	1.12258	0.000684	Dihydroorotate dehydrogenase
COG0168	TrkG	4	2.270541	0.001383	Trk-type K+ transport systems, membrane components
COG0169	AroE	1	0.978798	0.000596	Shikimate 5-dehydrogenase
COG0171	NadE	1	0.996268	0.000607	NAD synthase
COG0172	SerS	1	1	0.000609	Seryl-tRNA synthetase
COG0173	AspS	1	0.99829	0.000608	Aspartyl-tRNA synthetase
COG0177	Nth	1	0.985781	0.0006	Predicted EndoIII-related endonuclease
COG0178	UvrA	2	1.041711	0.000634	Excinuclease ATPase subunit
COG0180	TrpS	1	0.987261	0.000601	Tryptophanyl-tRNA synthetase
COG0184	RpsO	1	0.988764	0.000602	Ribosomal protein S15P/S13E
COG0185	RpsS	2	1.935483	0.001179	Ribosomal protein S19
COG0186	RpsQ	2	1.931034	0.001177	Ribosomal protein S17
COG0187	GyrB	3	1.888188	0.00115	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit
COG0188	GyrA	3	2.975124	0.001813	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit
COG0190	FolD	1	0.996466	0.000607	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase
COG0191	Fba	1	0.958041	0.000583	Fructose/tagatose bisphosphate aldolase
COG0192	MetK	1	0.992268	0.000604	S-adenosylmethionine synthetase
COG0194	Gmk	1	0.937172	0.000571	Guanylate kinase
COG0195	NusA	1	0.963157	0.000587	Transcription elongation factor
COG0196	RibF	1	1	0.000609	FAD synthase
COG0197	RplP	2	1.869863	0.001139	Ribosomal protein L16/L10E
COG0198	RplX	2	1.951923	0.001189	Ribosomal protein L24
COG0199	RpsN	2	2	0.001219	Ribosomal protein S14
COG0200	RplO	2	1.986842	0.001211	Ribosomal protein L15
COG0201	SecY	2	1.956422	0.001192	Preprotein translocase subunit SecY
COG0202	RpoA	1	0.962145	0.000586	DNA-directed RNA polymerase, alpha subunit/40 kD subunit
COG0203	RplQ	1	0.948275	0.000577	Ribosomal protein L17
COG0204	PlsC	1	0.874509	0.000533	1-acyl-sn-glycerol-3-phosphate acyltransferase
COG0205	PfkA	5	4.674351	0.002849	6-phosphofructokinase
COG0206	FtsZ	1	0.914201	0.000557	Cell division GTPase
COG0207	ThyA	1	0.992537	0.000604	Thymidylate synthase
COG0210	UvrD	1	0.975572	0.000594	Superfamily I DNA and RNA helicases
COG0211	RpmA	1	0.977011	0.000595	Ribosomal protein L27
COG0212	COG0212	1	0.979057	0.000596	5-formyltetrahydrofolate cyclo-ligase
COG0213	DeoA	1	0.997701	0.000608	Thymidine phosphorylase
COG0214	SNZ1	1	0.962837	0.000586	Pyridoxine biosynthesis enzyme
COG0215	CysS	1	0.969827	0.000591	Cysteinyl-tRNA synthetase
COG0216	PrfA	1	0.986225	0.000601	Protein chain release factor A
COG0217	COG0217	1	0.904564	0.000551	Uncharacterized conserved protein
COG0218	COG0218	1	0.985	0.0006	Predicted GTPase
COG0219	CspR	2	1.548387	0.000943	Predicted rRNA methylase (SpoU class)
COG0220	COG0220	2	0.881057	0.000537	Predicted S-adenosylmethionine-dependent methyltransferase
COG0222	RplL	1	1	0.000609	Ribosomal protein L7/L12
COG0223	Fmt	1	0.983713	0.000599	Methionyl-tRNA formyltransferase
COG0224	AtpG	1	0.993031	0.000605	F0F1-type ATP synthase, gamma subunit
COG0225	MsrA	1	0.902298	0.000549	Peptide methionine sulfoxide reductase
COG0226	PstS	1	0.962264	0.000586	ABC-type phosphate transport system, periplasmic component
COG0227	RpmB	1	0.818181	0.000498	Ribosomal protein L28
COG0228	RpsP	2	1.344827	0.000819	Ribosomal protein S16
COG0230	RpmH	1	1	0.000609	Ribosomal protein L34
COG0231	Efp	2	1.977099	0.001205	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)
COG0232	Dgt	2	1.905339	0.001161	dGTP triphosphohydrolase
COG0233	Frr	1	0.983957	0.000599	Ribosome recycling factor
COG0234	GroS	1	0.979166	0.000596	Co-chaperonin GroES (HSP10)
COG0236	AcpP	2	1.8375	0.00112	Acyl carrier protein
COG0237	CoaE	1	0.975124	0.000594	Dephospho-CoA kinase
COG0238	RpsR	1	1	0.000609	Ribosomal protein S18
COG0240	GpsA	2	2	0.001219	Glycerol-3-phosphate dehydrogenase
COG0241	HisB	1	0.740331	0.000451	Histidinol phosphatase and related phosphatases
COG0242	Def	2	1.767857	0.001077	N-formylmethionyl-tRNA deformylase
COG0244	RplJ	2	1.805714	0.0011	Ribosomal protein L10
COG0245	IspF	1	0.99371	0.000605	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
COG0249	MutS	1	0.991696	0.000604	Mismatch repair ATPase (MutS family)
COG0250	NusG	3	2.949438	0.001797	Transcription antiterminator
COG0251	TdcF	2	1.923076	0.001172	Putative translation initiation inhibitor, yjgF family
