Accession	Name	No_orfs	Coverage	Abundance	Description
COG0001	HemL	1	0.988425	0.000492	Glutamate-1-semialdehyde aminotransferase
COG0002	ArgC	1	1	0.000498	Acetylglutamate semialdehyde dehydrogenase
COG0004	AmtB	1	0.987775	0.000491	Ammonia permease
COG0005	Pnp	1	0.938931	0.000467	Purine nucleoside phosphorylase
COG0006	PepP	6	5.90625	0.002941	Xaa-Pro aminopeptidase
COG0007	CysG	2	1.946721	0.000969	Uroporphyrinogen-III methylase
COG0008	GlnS	4	2.516949	0.001253	Glutamyl- and glutaminyl-tRNA synthetases
COG0009	SUA5	1	0.928909	0.000462	Putative translation factor (SUA5)
COG0010	SpeB	1	1	0.000498	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family
COG0012	COG0012	1	1	0.000498	Predicted GTPase, probable translation factor
COG0013	AlaS	2	0.981797	0.000488	Alanyl-tRNA synthetase
COG0014	ProA	1	0.995203	0.000495	Gamma-glutamyl phosphate reductase
COG0015	PurB	1	0.997716	0.000496	Adenylosuccinate lyase
COG0016	PheS	1	0.988059	0.000492	Phenylalanyl-tRNA synthetase alpha subunit
COG0018	ArgS	1	0.993067	0.000494	Arginyl-tRNA synthetase
COG0019	LysA	2	1.982233	0.000987	Diaminopimelate decarboxylase
COG0020	UppS	1	0.955102	0.000475	Undecaprenyl pyrophosphate synthase
COG0021	TktA	1	0.995475	0.000495	Transketolase
COG0022	AcoB	1	1	0.000498	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit
COG0024	Map	1	0.941176	0.000468	Methionine aminopeptidase
COG0025	NhaP	2	1.729603	0.000861	NhaP-type Na+/H+ and K+/H+ antiporters
COG0026	PurK	1	0.933333	0.000464	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
COG0028	IlvB	4	3.832727	0.001908	Thiamine pyrophosphate-requiring enzymes
COG0030	KsgA	1	0.969111	0.000482	Dimethyladenosine transferase (rRNA methylation)
COG0031	CysK	1	1	0.000498	Cysteine synthase
COG0034	PurF	1	0.982978	0.000489	Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	Upp	1	1	0.000498	Uracil phosphoribosyltransferase
COG0036	Rpe	2	0.840909	0.000418	Pentose-5-phosphate-3-epimerase
COG0037	MesJ	2	1.624161	0.000808	tRNA(Ile)-lysidine synthase MesJ
COG0038	EriC	1	0.927765	0.000462	Chloride channel protein EriC
COG0039	Mdh	2	1.952076	0.000972	Malate/lactate dehydrogenases
COG0040	HisG	1	0.713793	0.000355	ATP phosphoribosyltransferase
COG0041	PurE	1	0.666666	0.000332	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042	COG0042	2	1.965944	0.000979	tRNA-dihydrouridine synthase
COG0044	PyrC	2	0.937209	0.000466	Dihydroorotase and related cyclic amidohydrolases
COG0045	SucC	1	1	0.000498	Succinyl-CoA synthetase, beta subunit
COG0046	PurL	1	0.99327	0.000494	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
COG0047	PurL	1	0.991341	0.000493	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
COG0048	RpsL	1	0.953488	0.000474	Ribosomal protein S12
COG0049	RpsG	1	1	0.000498	Ribosomal protein S7
COG0050	TufB	1	1	0.000498	GTPases - translation elongation factors
COG0051	RpsJ	1	0.980769	0.000488	Ribosomal protein S10
COG0052	RpsB	1	0.972222	0.000484	Ribosomal protein S2
COG0053	MMT1	1	0.947368	0.000471	Predicted Co/Zn/Cd cation transporters
COG0054	RibH	1	0.927631	0.000461	Riboflavin synthase beta-chain
COG0055	AtpD	1	0.976495	0.000486	F0F1-type ATP synthase, beta subunit
COG0056	AtpA	1	0.994047	0.000495	F0F1-type ATP synthase, alpha subunit
COG0057	GapA	1	0.991044	0.000493	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0059	IlvC	1	0.994082	0.000495	Ketol-acid reductoisomerase
COG0060	IleS	2	1.017148	0.000506	Isoleucyl-tRNA synthetase
COG0061	nadF	1	0.91459	0.000455	NAD kinase
COG0064	GatB	1	0.997929	0.000496	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)
COG0065	LeuC	1	1	0.000498	3-isopropylmalate dehydratase large subunit
COG0066	LeuD	1	0.989528	0.000492	3-isopropylmalate dehydratase small subunit
COG0067	GltB	3	2.862533	0.001425	Glutamate synthase domain 1
COG0069	GltB	4	3.470103	0.001728	Glutamate synthase domain 2
COG0070	GltB	3	2.225913	0.001108	Glutamate synthase domain 3
COG0071	IbpA	1	0.979452	0.000487	Molecular chaperone (small heat shock protein)
COG0072	PheT	1	1	0.000498	Phenylalanyl-tRNA synthetase beta subunit
COG0073	ARC1	2	1.943089	0.000967	EMAP domain
COG0074	SucD	1	0.993174	0.000494	Succinyl-CoA synthetase, alpha subunit
COG0075	COG0075	2	1.976501	0.000984	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase
COG0077	PheA	2	1.050179	0.000523	Prephenate dehydratase
COG0078	ArgF	1	0.980645	0.000488	Ornithine carbamoyltransferase
COG0079	HisC	3	2.348314	0.001169	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase
COG0080	RplK	1	0.510638	0.000254	Ribosomal protein L11
COG0081	RplA	1	1	0.000498	Ribosomal protein L1
COG0082	AroC	1	0.967479	0.000481	Chorismate synthase
COG0084	TatD	1	0.996093	0.000496	Mg-dependent DNase
COG0085	RpoB	2	1.35283	0.000673	DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0086	RpoC	3	1.820544	0.000906	DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0087	RplC	1	0.995412	0.000495	Ribosomal protein L3
COG0088	RplD	1	0.981308	0.000488	Ribosomal protein L4
COG0089	RplW	1	0.989361	0.000492	Ribosomal protein L23
COG0090	RplB	1	1	0.000498	Ribosomal protein L2
COG0091	RplV	1	0.95	0.000473	Ribosomal protein L22
COG0092	RpsC	1	0.987124	0.000491	Ribosomal protein S3
COG0093	RplN	1	1	0.000498	Ribosomal protein L14
COG0094	RplE	1	0.994444	0.000495	Ribosomal protein L5
COG0096	RpsH	1	1	0.000498	Ribosomal protein S8
COG0097	RplF	1	0.988764	0.000492	Ribosomal protein L6P/L9E
COG0098	RpsE	1	0.928176	0.000462	Ribosomal protein S5
COG0099	RpsM	1	1	0.000498	Ribosomal protein S13
COG0100	RpsK	2	1.062015	0.000528	Ribosomal protein S11
COG0101	TruA	1	0.917293	0.000456	Pseudouridylate synthase
COG0102	RplM	1	1	0.000498	Ribosomal protein L13
COG0103	RpsI	1	0.992307	0.000494	Ribosomal protein S9
COG0104	PurA	1	1	0.000498	Adenylosuccinate synthase
COG0106	HisA	1	0.979253	0.000487	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107	HisF	1	0.996093	0.000496	Imidazoleglycerol-phosphate synthase
COG0108	RibB	1	1	0.000498	3,4-dihydroxy-2-butanone 4-phosphate synthase
COG0109	CyoE	1	0.947368	0.000471	Polyprenyltransferase (cytochrome oxidase assembly factor)
COG0111	SerA	3	1.966049	0.000979	Phosphoglycerate dehydrogenase and related dehydrogenases
COG0112	GlyA	1	0.997578	0.000496	Glycine/serine hydroxymethyltransferase
COG0113	HemB	2	0.878787	0.000437	Delta-aminolevulinic acid dehydratase
COG0115	IlvE	3	2.732394	0.00136	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0117	RibD	1	1	0.000498	Pyrimidine deaminase
COG0118	HisH	1	0.995098	0.000495	Glutamine amidotransferase
COG0119	LeuA	3	2.662591	0.001326	Isopropylmalate/homocitrate/citramalate synthases
COG0120	RpiA	1	0.977973	0.000487	Ribose 5-phosphate isomerase
COG0122	AlkA	1	0.754385	0.000375	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0123	AcuC	2	1.758823	0.000875	Deacetylases, including yeast histone deacetylase and acetoin utilization protein
COG0124	HisS	1	0.990675	0.000493	Histidyl-tRNA synthetase
COG0125	Tmk	1	0.985576	0.00049	Thymidylate kinase
COG0126	Pgk	2	0.663291	0.00033	3-phosphoglycerate kinase
COG0127	COG0127	1	0.963917	0.00048	Xanthosine triphosphate pyrophosphatase
COG0128	AroA	1	0.981308	0.000488	5-enolpyruvylshikimate-3-phosphate synthase
COG0129	IlvD	3	2.793043	0.00139	Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0130	TruB	1	0.996309	0.000496	Pseudouridine synthase
COG0131	HisB	1	0.994871	0.000495	Imidazoleglycerol-phosphate dehydratase
COG0133	TrpB	1	0.992424	0.000494	Tryptophan synthase beta chain
COG0134	TrpC	1	1	0.000498	Indole-3-glycerol phosphate synthase
COG0135	TrpF	1	0.971153	0.000483	Phosphoribosylanthranilate isomerase
COG0136	Asd	1	1	0.000498	Aspartate-semialdehyde dehydrogenase
COG0137	ArgG	1	0.957816	0.000477	Argininosuccinate synthase
COG0138	PurH	2	1.064077	0.000529	AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)
