Accession	Name	No_orfs	Coverage	Abundance	Description
COG0001	HemL	2	1.9375	0.000673	Glutamate-1-semialdehyde aminotransferase
COG0002	ArgC	1	0.954154	0.000331	Acetylglutamate semialdehyde dehydrogenase
COG0004	AmtB	2	1.98533	0.00069	Ammonia permease
COG0005	Pnp	1	0.980916	0.000341	Purine nucleoside phosphorylase
COG0006	PepP	1	0.997395	0.000346	Xaa-Pro aminopeptidase
COG0007	CysG	2	1.938524	0.000674	Uroporphyrinogen-III methylase
COG0008	GlnS	2	1.516949	0.000527	Glutamyl- and glutaminyl-tRNA synthetases
COG0009	SUA5	1	0.962085	0.000334	Putative translation factor (SUA5)
COG0010	SpeB	2	1.878688	0.000653	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family
COG0012	COG0012	2	1.045698	0.000363	Predicted GTPase, probable translation factor
COG0013	AlaS	1	0.990898	0.000344	Alanyl-tRNA synthetase
COG0014	ProA	1	0.990407	0.000344	Gamma-glutamyl phosphate reductase
COG0015	PurB	1	1	0.000347	Adenylosuccinate lyase
COG0016	PheS	2	0.677611	0.000235	Phenylalanyl-tRNA synthetase alpha subunit
COG0018	ArgS	1	1	0.000347	Arginyl-tRNA synthetase
COG0019	LysA	2	1.944162	0.000676	Diaminopimelate decarboxylase
COG0020	UppS	1	0.963265	0.000334	Undecaprenyl pyrophosphate synthase
COG0021	TktA	1	0.998491	0.000347	Transketolase
COG0022	AcoB	2	1.996913	0.000694	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit
COG0024	Map	2	1.972549	0.000686	Methionine aminopeptidase
COG0026	PurK	1	0.912	0.000317	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
COG0028	IlvB	4	3.903636	0.001357	Thiamine pyrophosphate-requiring enzymes
COG0029	NadB	1	0.984555	0.000342	Aspartate oxidase
COG0030	KsgA	1	0.972972	0.000338	Dimethyladenosine transferase (rRNA methylation)
COG0031	CysK	1	0.993333	0.000345	Cysteine synthase
COG0033	Pgm	1	0.998091	0.000347	Phosphoglucomutase
COG0034	PurF	1	0.997872	0.000347	Glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	Upp	1	1	0.000347	Uracil phosphoribosyltransferase
COG0036	Rpe	1	0.963636	0.000335	Pentose-5-phosphate-3-epimerase
COG0037	MesJ	2	1.731543	0.000602	tRNA(Ile)-lysidine synthase MesJ
COG0038	EriC	1	0.916478	0.000318	Chloride channel protein EriC
COG0039	Mdh	1	0.98083	0.000341	Malate/lactate dehydrogenases
COG0040	HisG	1	0.67931	0.000236	ATP phosphoribosyltransferase
COG0041	PurE	1	0.938271	0.000326	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase
COG0042	COG0042	2	1.95356	0.000679	tRNA-dihydrouridine synthase
COG0044	PyrC	2	1.976744	0.000687	Dihydroorotase and related cyclic amidohydrolases
COG0045	SucC	1	0.997416	0.000346	Succinyl-CoA synthetase, beta subunit
COG0046	PurL	1	0.99327	0.000345	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
COG0047	PurL	1	0.978354	0.00034	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain
COG0048	RpsL	1	0.953488	0.000331	Ribosomal protein S12
COG0049	RpsG	1	1	0.000347	Ribosomal protein S7
COG0050	TufB	2	0.718274	0.000249	GTPases - translation elongation factors
COG0051	RpsJ	1	0.980769	0.000341	Ribosomal protein S10
COG0052	RpsB	1	0.97619	0.000339	Ribosomal protein S2
COG0054	RibH	1	0.947368	0.000329	Riboflavin synthase beta-chain
COG0055	AtpD	1	0.974358	0.000338	F0F1-type ATP synthase, beta subunit
COG0056	AtpA	1	0.994047	0.000345	F0F1-type ATP synthase, alpha subunit
COG0057	GapA	1	0.991044	0.000344	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0059	IlvC	1	0.994082	0.000345	Ketol-acid reductoisomerase
COG0060	IleS	1	0.998928	0.000347	Isoleucyl-tRNA synthetase
