Name	Description	Accession	cog_table	EG18NEC_Bin13	EG18NEC_Bin8	EG18NEC_Bin12	EG18NEC_Bin13	EG18NEC_Bin8
HemL	Glutamate-1-semialdehyde aminotransferase	COG0001	Glutamate-1-semialdehyde aminotransferase	0	1	2	0	1
ArgC	Acetylglutamate semialdehyde dehydrogenase	COG0002	Acetylglutamate semialdehyde dehydrogenase	1	1	1	1	1
AmtB	Ammonia permease	COG0004	Ammonia permease	1	1	2	1	1
Pnp	Purine nucleoside phosphorylase	COG0005	Purine nucleoside phosphorylase	1	1	1	1	1
PepP	Xaa-Pro aminopeptidase	COG0006	Xaa-Pro aminopeptidase	5	6	1	5	6
CysG	Uroporphyrinogen-III methylase	COG0007	Uroporphyrinogen-III methylase	2	2	2	2	2
GlnS	Glutamyl- and glutaminyl-tRNA synthetases	COG0008	Glutamyl- and glutaminyl-tRNA synthetases	3	4	2	3	4
SUA5	Putative translation factor (SUA5)	COG0009	Putative translation factor (SUA5)	1	1	1	1	1
SpeB	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family	COG0010	Arginase/agmatinase/formimionoglutamate hydrolase, arginase family	2	1	2	2	1
COG0012	Predicted GTPase, probable translation factor	COG0012	Predicted GTPase, probable translation factor	1	1	2	1	1
AlaS	Alanyl-tRNA synthetase	COG0013	Alanyl-tRNA synthetase	1	2	1	1	2
ProA	Gamma-glutamyl phosphate reductase	COG0014	Gamma-glutamyl phosphate reductase	1	1	1	1	1
PurB	Adenylosuccinate lyase	COG0015	Adenylosuccinate lyase	1	1	1	1	1
PheS	Phenylalanyl-tRNA synthetase alpha subunit	COG0016	Phenylalanyl-tRNA synthetase alpha subunit	1	1	2	1	1
ArgS	Arginyl-tRNA synthetase	COG0018	Arginyl-tRNA synthetase	1	1	1	1	1
LysA	Diaminopimelate decarboxylase	COG0019	Diaminopimelate decarboxylase	1	2	2	1	2
UppS	Undecaprenyl pyrophosphate synthase	COG0020	Undecaprenyl pyrophosphate synthase	1	1	1	1	1
TktA	Transketolase	COG0021	Transketolase	1	1	1	1	1
AcoB	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit	COG0022	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, beta subunit	1	1	2	1	1
Map	Methionine aminopeptidase	COG0024	Methionine aminopeptidase	1	1	2	1	1
PurK	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	1	1	1	1	1
IlvB	Thiamine pyrophosphate-requiring enzymes	COG0028	Thiamine pyrophosphate-requiring enzymes	5	4	4	5	4
NadB	Aspartate oxidase	COG0029	Aspartate oxidase	1	0	1	1	0
KsgA	Dimethyladenosine transferase (rRNA methylation)	COG0030	Dimethyladenosine transferase (rRNA methylation)	1	1	1	1	1
CysK	Cysteine synthase	COG0031	Cysteine synthase	2	1	1	2	1
Pgm	Phosphoglucomutase	COG0033	Phosphoglucomutase	1	0	1	1	0
PurF	Glutamine phosphoribosylpyrophosphate amidotransferase	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	1	1	1	1	1
Upp	Uracil phosphoribosyltransferase	COG0035	Uracil phosphoribosyltransferase	1	1	1	1	1
Rpe	Pentose-5-phosphate-3-epimerase	COG0036	Pentose-5-phosphate-3-epimerase	1	2	1	1	2
MesJ	tRNA(Ile)-lysidine synthase MesJ	COG0037	tRNA(Ile)-lysidine synthase MesJ	2	2	2	2	2
EriC	Chloride channel protein EriC	COG0038	Chloride channel protein EriC	1	1	1	1	1
Mdh	Malate/lactate dehydrogenases	COG0039	Malate/lactate dehydrogenases	1	2	1	1	2
HisG	ATP phosphoribosyltransferase	COG0040	ATP phosphoribosyltransferase	1	1	1	1	1
PurE	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	1	1	1	1	1
COG0042	tRNA-dihydrouridine synthase	COG0042	tRNA-dihydrouridine synthase	2	2	2	2	2
PyrC	Dihydroorotase and related cyclic amidohydrolases	COG0044	Dihydroorotase and related cyclic amidohydrolases	2	2	2	2	2
SucC	Succinyl-CoA synthetase, beta subunit	COG0045	Succinyl-CoA synthetase, beta subunit	1	1	1	1	1
PurL	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	1	1	1	1	1
PurL	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	1	1	1	1	1
RpsL	Ribosomal protein S12	COG0048	Ribosomal protein S12	1	1	1	1	1
RpsG	Ribosomal protein S7	COG0049	Ribosomal protein S7	1	1	1	1	1
